Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
NCRNA00014,2/20/15,RNU17D|RNU17C,SNHG3|U17HG|U17HG-A,RNU17D|RNU17C|SNHG3|U17HG|U17HG-A
SNORA74A,4/20/06,RNU19,U19,RNU19|U19
U19,4/20/06,RNU19,SNORA74A,RNU19|SNORA74A
OPN1SW,1/20/17,BCP,BOP|CBT,BCP|BOP|CBT
BOP,1/20/17,BCP,OPN1SW|CBT,BCP|OPN1SW|CBT
CBT,1/20/17,BCP,OPN1SW|BOP,BCP|OPN1SW|BOP
RNU1-1,11/20/09,RNU1|RNU1G4|RNU1A3|RNU1A,Rnu1a1|U1|HU1-1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|Rnu1a1|U1|HU1-1|U1A1|HSD1
Rnu1a1,11/20/09,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|U1|HU1-1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|U1|HU1-1|U1A1|HSD1
U1,11/20/09,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|HU1-1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|HU1-1|U1A1|HSD1
HU1-1,11/20/09,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|U1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|U1|U1A1|HSD1
U1A1,11/20/09,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|U1|HU1-1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|U1|HU1-1|HSD1
HSD1,11/20/09,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|U1|HU1-1|U1A1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|U1|HU1-1|U1A1
RNU1A3~,,,,
RNU1-2,11/20/09,RNU1C1|RNU1C2,U1C1|U1C21,RNU1C1|RNU1C2|U1C1|U1C21
U1C1,11/20/09,RNU1C1|RNU1C2,RNU1-2|U1C21,RNU1C1|RNU1C2|RNU1-2|U1C21
U1C21,11/20/09,RNU1C1|RNU1C2,RNU1-2|U1C1,RNU1C1|RNU1C2|RNU1-2|U1C1
RNU1C2~,,,,
RNU1D2~,,,,
RNU1E2~,,,,
RNU1F1~,,,,
RNU1-4,11/20/09,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1,HSD6|U1E2|HSD2|U1D2|HSD5|U1B2|U1F|HSD7,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1|HSD6|U1E2|HSD2|U1D2|HSD5|U1B2|U1F|HSD7
